number,x,y
0,516,705
1,513,623
2,516,648
3,492,540
4,513,597
5,512,564
6,513,483
7,339,474
8,513,422
9,512,390
10,511,289
11,517,718
12,517,728
13,517,734
14,518,749
15,519,761
16,519,776
17,519,791
18,520,813
19,514,635
20,495,634
21,255,395
22,410,497
23,385,499
24,362,499
25,331,485
26,431,491
27,376,434
28,402,435
29,351,437
30,335,446
31,312,504
32,428,846
33,330,468
34,243,495
35,285,486
36,397,604
37,489,703
38,496,730
39,463,713
40,448,727
41,478,733
42,465,739
43,417,769
44,494,622
45,489,598
46,297,420
47,443,539
48,443,618
49,441,605
50,326,603
51,490,567
52,349,393
53,318,402
54,276,353
55,458,415
56,426,444
57,401,746
58,270,722
59,462,632
60,481,638
61,432,750
62,445,747
63,304,387
64,444,630
65,395,395
66,389,377
67,370,300
68,289,370
69,382,338
70,282,411
71,269,405
72,492,718
73,471,725
74,456,734
75,468,636
76,439,750
77,445,753
78,447,744
79,472,622
80,471,738
81,484,735
82,500,734
83,489,811
84,490,788
85,492,773
86,495,758
87,497,748
88,466,747
89,461,752
90,455,759
91,449,767
92,424,697
93,245,600
94,515,640
95,457,747
96,452,750
97,489,649
98,454,646
99,485,644
100,418,555
101,380,573
102,438,617
103,311,320
104,324,346
105,339,375
106,434,785
107,449,384
108,442,340
109,435,291
110,342,494
111,287,523
112,444,484
113,310,454
114,459,522
115,455,608
116,262,541
117,304,541
118,335,550
119,382,545
120,416,533
121,441,520
122,490,490
123,268,593
124,290,451
125,503,634
126,446,564
127,239,495
128,459,507
129,437,618
130,323,470
131,454,592
132,251,659
133,444,474
134,471,576
135,321,786
136,319,813
137,244,597
138,293,750
139,256,447
140,419,874
141,506,639
142,426,584
143,265,492
144,363,483
145,384,485
146,439,758
147,276,641
148,465,914
149,386,873
150,354,848
151,512,341
152,523,921
153,405,484
154,425,480
155,438,477
156,273,447
157,422,455
158,400,448
159,378,446
160,356,450
161,343,458
162,243,439
163,348,479
164,516,665
165,443,681
166,461,627
167,485,669
168,513,452
169,351,820
170,383,846
171,465,894
172,294,774
173,437,467
174,474,529
175,523,901
176,422,897
177,253,651
178,480,747
179,476,755
180,471,766
181,467,779
182,458,800
183,454,743
184,445,742
185,437,739
186,409,720
187,311,655
188,475,504
189,463,458
190,448,461
191,459,739
192,307,715
193,482,456
194,442,821
195,513,536
196,490,516
197,513,510
198,460,569
199,522,872
200,521,839
201,481,836
202,387,775
203,417,639
204,411,802
205,362,634
206,397,663
207,345,674
208,471,865
209,448,584
210,362,793
211,393,821
212,370,745
213,283,683
214,337,746
215,268,702
216,381,698
217,461,546
218,464,619
219,451,626
220,471,602
221,441,436
222,400,422
223,366,419
224,338,423
225,319,434
226,307,478
227,240,545
228,326,514
229,350,521
230,383,520
231,414,513
232,437,505
233,454,496
234,242,547
235,453,633
236,474,552
237,478,619
238,492,630
239,480,623
240,460,641
241,496,633
242,499,638
243,453,476
244,467,483
245,474,487
246,336,463
247,324,456
248,534,540
249,691,471
250,535,633
251,782,390
252,621,495
253,646,496
254,670,496
255,700,481
256,600,489
257,653,432
258,627,434
259,678,435
260,694,443
261,721,500
262,617,846
263,700,464
264,797,490
265,749,483
266,636,602
267,543,702
268,538,729
269,571,712
270,587,726
271,556,732
272,570,737
273,623,768
274,534,622
275,536,597
276,733,418
277,588,538
278,588,617
279,590,603
280,709,599
281,535,566
282,677,392
283,710,400
284,756,349
285,568,414
286,603,442
287,637,744
288,780,719
289,569,630
290,550,637
291,605,749
292,592,746
293,724,385
294,588,629
295,631,395
296,635,376
297,655,297
298,740,367
299,643,337
300,748,409
301,765,401
302,541,717
303,563,724
304,579,732
305,563,635
306,598,748
307,592,752
308,590,743
309,558,621
310,565,736
311,551,735
312,535,734
313,552,811
314,548,788
315,546,773
316,543,758
317,540,748
318,572,746
319,577,751
320,583,758
321,590,766
322,610,695
323,802,597
324,581,746
325,586,748
326,543,648
327,579,645
328,547,643
329,613,553
330,653,570
331,593,615
332,717,316
333,702,344
334,686,373
335,607,784
336,575,384
337,581,339
338,588,290
339,689,490
340,748,519
341,586,483
342,721,451
343,571,521
344,574,607
345,775,536
346,730,538
347,698,547
348,650,542
349,616,531
350,590,519
351,537,489
352,770,589
353,743,447
354,526,634
355,584,563
356,805,491
357,570,506
