대분류,대분류코드,중분류,중분류코드,중분류한자,부위,취혈,침구법,url
수양명대장경,LI,영향,LI20,迎香,"얼굴, 코입술고랑(nasolabial sulcus) 위, 콧방울(ala of the nose) 가쪽모서리의 중점과 같은 높이.",- 直刺 0.2～0.3寸,NONE,https://www.kmcric.com/database/acupoint/LI/LI20
수양명대장경,LI,화료,LI19,禾髎,"얼굴, 인중 부위(philtrum)의 중점과 같은 높이, 콧구멍 가쪽모서리 아래 쪽.",콧구멍가쪽모서리의 수직선과 인중 도랑의 중점에 해당하는 점의 수평선의 교점에서 취혈한다.,"- 直刺 0.2～0.3寸
- 斜刺 0.3～0.5寸",https://www.kmcric.com/database/acupoint/LI/LI19
수태양소장경,SI,관료,SI18,顴髎,"얼굴, 광대뼈(zygomatic bone) 아래쪽, 가쪽눈구석(outer canthus)에서 수직으로 아래쪽 오목한 곳.",광대뼈 아래모서리의 수평선과 가쪽눈 구석의 수직선이 만나는 부위의 오목한 곳에서 취혈한다.,"- 直刺 0.2～0.3寸
- 斜刺 0.5～1寸 (下方으로 향해)
- 禁鍼灸 (『醫學入門』)
- 刺二分禁灸 (『類經圖翼』)",https://www.kmcric.com/database/acupoint/SI/SI18
수소양삼초경,TE,사죽공,TE23,絲竹空,"머리, 눈썹 가쪽끝의 오목한 곳.",- 直刺 0.2～0.3寸,NONE,https://www.kmcric.com/database/acupoint/TE/TE23
족양명위경,ST,승읍,ST1,承泣,"얼굴, 동공(pupil)에서 수직으로 아래 쪽, 안구(eyeball)와 눈확아래모서리(infraorbital margin)의 사이.",- 直刺 0.2～0.3寸,NONE,https://www.kmcric.com/database/acupoint/ST/ST1
족양명위경,ST,사백,ST2,四白,"얼굴, 눈확아래구멍(infraorbital foramen).",눈확아래구멍은 동공(pupil)에서 수직으로 아래쪽에서 촉지된다.,"- 直刺 0.2～0.3寸
- 斜刺 0.3～0.5寸",https://www.kmcric.com/database/acupoint/ST/ST2
족양명위경,ST,거료,ST3,巨髎,"얼굴, 동공(pupil)에서 수직으로 아래 쪽, 콧방울(ala of the nose) 아래모서리와 같은 높이.","고개를 들고 앞을 바로 볼 때, 동공을 지나는 수직선과 콧방울 아래모서리를 지나는 수평선이 만나는 지점에서 취혈한다. 수직으로 위쪽에 四白(ST2)이 위치한다.","- 直刺 0.3～0.5寸
- 斜刺 0.5～1寸",https://www.kmcric.com/database/acupoint/ST/ST3
족양명위경,ST,지창,ST4,地倉,"얼굴, 입꼬리에서 가쪽으로 0.4寸.","입꼬리 옆쪽, 코입술고랑(nasolabialsulcus) 위 혹은 코입술고랑의 연장선상에서 취혈한다.","- 直刺 0.3～0.5寸
- 橫刺 1～1.5寸
- 顔面神經麻痺 치료시 頰車(ST6)로 透刺 1.5～2.5寸
- 三叉神經痛 치료시 迎香(LI20)으로 透刺 1～2寸",https://www.kmcric.com/database/acupoint/ST/ST4
족양명위경,ST,두유,ST8,頭維,"머리, 이마각(corner of the forehead) 前髮際(anterior hairline)에서 수직으로 위쪽으로 0.5寸, 앞정중선(anterior median line)에서 가쪽으로 4.5寸.",- 直刺 0.2～0.3寸,NONE,https://www.kmcric.com/database/acupoint/ST/ST8
족태양방광경,BL,정명,BL1,睛明,"얼굴, 안쪽눈구석(inner canthus)의 위 안쪽 부분과 눈확(orbit)의 안쪽 벽 사이의 오목한 곳.","눈을 감고 눈동자를 반대편으로 돌린 상태에서, 안쪽눈구석에서 위안쪽으로 0.1寸 지점의 오목한 곳에서 취혈한다.","- 直刺 0.1～0.3寸 (不宜深刺)
- 斜刺 0.3～0.7寸",https://www.kmcric.com/database/acupoint/BL/BL1
