AGE,MONTH,1st,3rd,5th,10th,15th,25th,50th,75th,85th,90th,95th,97th,99th
3.0,36,88.3,89.7,90.5,91.8,92.6,93.9,96.5,99.2,100.7,101.8,103.4,104.4,106.5
3.08,37,88.7,90.2,91.0,92.3,93.2,94.5,97.0,99.8,101.3,102.3,103.9,105.0,107.1
3.17,38,89.2,90.7,91.5,92.8,93.7,95.0,97.6,100.3,101.8,102.9,104.5,105.6,107.6
3.25,39,89.7,91.2,92.0,93.3,94.2,95.5,98.1,100.9,102.4,103.5,105.1,106.1,108.2
3.33,40,90.2,91.7,92.5,93.8,94.7,96.1,98.7,101.4,103.0,104.0,105.6,106.7,108.7
3.42,41,90.6,92.2,93.0,94.3,95.3,96.6,99.2,102.0,103.5,104.6,106.2,107.2,109.3
3.5,42,91.1,92.7,93.5,94.9,95.8,97.1,99.8,102.6,104.1,105.1,106.7,107.8,109.8
3.58,43,91.6,93.2,94.0,95.4,96.3,97.7,100.3,103.1,104.6,105.7,107.3,108.4,110.4
3.67,44,92.1,93.7,94.5,95.9,96.8,98.2,100.9,103.7,105.2,106.3,107.9,108.9,111.0
3.75,45,92.5,94.2,95.0,96.4,97.3,98.7,101.4,104.2,105.8,106.8,108.4,109.5,111.5
3.83,46,93.0,94.7,95.5,96.9,97.9,99.3,102.0,104.8,106.3,107.4,109.0,110.1,112.1
3.92,47,93.5,95.2,96.0,97.4,98.4,99.8,102.5,105.3,106.9,108.0,109.6,110.6,112.6
4.0,48,94.0,95.6,96.5,97.9,98.9,100.3,103.1,105.9,107.5,108.5,110.1,111.2,113.2
4.08,49,94.5,96.1,97.0,98.5,99.4,100.9,103.6,106.5,108.0,109.1,110.7,111.7,113.8
4.17,50,94.9,96.6,97.5,99.0,99.9,101.4,104.2,107.0,108.6,109.6,111.3,112.3,114.3
4.25,51,95.4,97.1,98.0,99.5,100.5,101.9,104.7,107.6,109.1,110.2,111.8,112.9,114.9
4.33,52,95.9,97.6,98.6,100.0,101.0,102.5,105.3,108.1,109.7,110.8,112.4,113.4,115.5
4.42,53,96.4,98.1,99.1,100.5,101.5,103.0,105.8,108.7,110.3,111.3,112.9,114.0,116.0
4.5,54,96.8,98.6,99.6,101.0,102.0,103.5,106.3,109.2,110.8,111.9,113.5,114.6,116.6
4.58,55,97.3,99.1,100.1,101.5,102.5,104.0,106.9,109.8,111.4,112.5,114.1,115.1,117.2
4.67,56,97.8,99.6,100.6,102.0,103.1,104.6,107.4,110.3,111.9,113.0,114.6,115.7,117.7
4.75,57,98.3,100.1,101.1,102.6,103.6,105.1,108.0,110.9,112.5,113.6,115.2,116.3,118.3
4.83,58,98.8,100.6,101.6,103.1,104.1,105.6,108.5,111.5,113.1,114.1,115.8,116.8,118.9
4.92,59,99.2,101.1,102.1,103.6,104.6,106.2,109.1,112.0,113.6,114.7,116.3,117.4,119.4
5.0,60,99.7,101.6,102.5,104.1,105.1,106.7,109.6,112.6,114.2,115.3,116.9,118.0,120.0
5.08,61,100.2,102.0,103.0,104.6,105.6,107.2,110.1,113.1,114.7,115.8,117.5,118.6,120.6
5.17,62,100.7,102.5,103.5,105.1,106.1,107.7,110.7,113.7,115.3,116.4,118.1,119.1,121.2
5.25,63,101.1,103.0,104.0,105.6,106.6,108.2,111.2,114.2,115.8,117.0,118.6,119.7,121.8
5.33,64,101.6,103.5,104.5,106.1,107.1,108.7,111.7,114.8,116.4,117.5,119.2,120.3,122.4
